,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
2701422,2021,Menor de 17 anos,M,Branca,1,não concluiu,0,Não respondeu,Juazeiro do Norte,CE,,,,,0,,,E,G,D,E,4.0,L,C,D,B,A,B,E,B,B
2704064,2021,21 anos,F,Parda,1,cursando,0,Pública,Quixeramobim,CE,,,,,1,,,B,C,A,A,1.0,C,B,B,A,B,B,B,A,B
2704242,2021,18 anos,F,Parda,1,cursando,0,Pública,Divinópolis,MG,,,,,0,,,C,G,C,D,5.0,E,B,C,B,A,B,D,B,B
2704418,2021,24 anos,F,Parda,1,concluiu,5,Não respondeu,São Paulo,SP,,,,,1,,,B,A,F,B,3.0,B,B,A,A,A,B,C,A,A
2705612,2021,19 anos,M,Preta,3,concluiu,2,Não respondeu,Presidente Prudente,SP,,,,,1,,,H,H,B,C,4.0,C,B,D,B,A,B,C,B,B
2705917,2021,Entre 26 e 30 anos,M,Não declarado,1,concluiu,8,Não respondeu,Recife,PE,,,,,1,,,E,H,F,F,1.0,B,B,B,A,A,A,B,A,A
2707018,2021,19 anos,M,Parda,1,cursando,0,Pública,Araucária,PR,,,,,0,,,H,D,F,F,4.0,A,B,C,A,A,B,B,A,B
2707100,2021,17 anos,F,Parda,1,cursando,0,Pública,Guanambi,BA,533.1,,,551.6,1,,,B,E,C,D,5.0,C,C,D,B,C,B,E,B,B
2707327,2021,17 anos,F,Parda,1,cursando,0,Privada,São Paulo,SP,,,,,0,,,C,E,D,F,6.0,I,E,E,C,A,C,E,D,B
2707382,2021,20 anos,M,Parda,1,concluiu,0,Não respondeu,Jaboatão dos Guararapes,PE,,,,,1,,,E,E,B,B,5.0,B,C,C,A,A,B,E,A,B
2708233,2021,18 anos,M,Branca,1,cursando,0,Não respondeu,Erechim,RS,,,,,0,,,C,E,C,C,3.0,F,B,D,B,A,B,A,B,B
2708339,2021,Entre 41 e 45 anos,M,Parda,1,concluiu,15,Não respondeu,Nossa Senhora do Socorro,SE,,,,,0,,,B,B,B,C,4.0,B,B,C,B,A,B,C,A,B
2710280,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,Brasília,DF,596.0,,,695.8,0,,,F,F,E,E,4.0,Q,E,E,C,A,C,E,E,B
2710850,2021,20 anos,M,Branca,1,concluiu,2,Não respondeu,Belém,PA,,,,,1,,,B,A,D,B,5.0,D,B,C,A,A,B,C,B,B
2713381,2021,Entre 26 e 30 anos,F,Amarela,1,concluiu,13,Não respondeu,São Raimundo Nonato,PI,,,,,0,,,C,E,C,D,5.0,B,B,C,B,A,B,D,A,A
2714852,2021,Menor de 17 anos,F,Amarela,1,cursando,0,Não respondeu,São Paulo,SP,,,,,1,,,D,E,D,D,6.0,H,B,D,B,A,B,D,B,B
2714884,2021,Entre 26 e 30 anos,M,Preta,1,concluiu,12,Não respondeu,Nova Iguaçu,RJ,,,,,1,,,D,B,C,B,3.0,E,C,C,A,A,B,C,A,A
2715122,2021,18 anos,M,Parda,1,cursando,0,Pública,Santo Antônio de Pádua,RJ,,,,,0,,,C,E,C,B,4.0,D,B,C,A,A,C,D,B,B
2715204,2021,18 anos,F,Parda,1,concluiu,1,Não respondeu,Carangola,MG,431.5,,,403.1,1,,,C,E,C,B,5.0,B,B,D,B,A,B,D,B,B
2715294,2021,Menor de 17 anos,M,Parda,1,cursando,0,Não respondeu,Goiânia,GO,457.7,,,543.8,0,,,E,F,C,D,3.0,C,C,C,B,A,B,C,B,B
2715421,2021,18 anos,M,Parda,1,concluiu,1,Não respondeu,Jandaia do Sul,PR,,,,,1,,,E,G,D,D,3.0,I,C,C,B,B,B,D,C,B
2716394,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,Ipiaú,BA,,,,,0,,,F,G,D,D,2.0,F,B,C,B,A,B,C,B,B
2717654,2021,25 anos,M,Parda,1,concluiu,7,Não respondeu,São Paulo,SP,,,,,0,,,C,E,C,C,4.0,G,B,C,B,A,B,E,B,B
2717831,2021,Entre 26 e 30 anos,M,Branca,1,concluiu,0,Não respondeu,Porto Velho,RO,,,,,1,,,G,G,E,E,3.0,H,C,D,B,A,B,D,C,B
2717903,2021,19 anos,M,Parda,1,concluiu,2,Não respondeu,Mombaça,CE,,,,,0,,,H,H,A,B,4.0,B,B,C,A,A,B,C,A,B
2718785,2021,17 anos,F,Branca,1,cursando,0,Não respondeu,São Félix do Araguaia,MT,,,,,0,,,E,E,C,B,4.0,E,B,D,B,A,B,C,A,B
2719422,2021,21 anos,M,Parda,1,concluiu,2,Não respondeu,Fortaleza,CE,0.0,,,0.0,1,,,D,C,F,B,3.0,B,B,A,A,A,B,B,A,B
2719583,2021,Menor de 17 anos,M,Branca,1,cursando,0,Não respondeu,Viçosa,MG,,,,,1,,,E,G,D,D,3.0,H,C,D,B,A,B,D,B,B
2721435,2021,21 anos,M,Parda,1,concluiu,2,Não respondeu,Fortaleza,CE,,,,,1,,,H,H,F,B,3.0,D,B,C,A,A,B,C,A,B
2721534,2021,20 anos,F,Parda,1,concluiu,2,Não respondeu,Morro do Chapéu,BA,,,,,1,,,E,C,A,A,4.0,A,C,C,A,B,B,C,B,B
2721632,2021,Menor de 17 anos,F,Parda,1,cursando,0,Pública,Itapetinga,BA,432.1,,,466.9,0,,,H,E,C,D,2.0,B,B,B,A,A,B,B,A,B
2722994,2021,19 anos,F,Parda,1,concluiu,1,Não respondeu,Maringá,PR,,,,,0,,,E,E,C,D,1.0,G,B,B,B,A,B,D,B,B
2723117,2021,23 anos,M,Parda,1,concluiu,4,Não respondeu,Fortaleza,CE,,,,,1,,,E,C,F,B,4.0,F,C,D,A,B,B,E,A,B
2724239,2021,17 anos,M,Branca,1,cursando,0,Privada,Rio de Janeiro,RJ,,,,,0,,,F,E,F,B,4.0,M,D,D,A,A,B,E,D,B
2726117,2021,20 anos,F,Parda,1,concluiu,2,Não respondeu,Carpina,PE,,,,,1,,,C,C,A,A,4.0,A,B,C,A,A,B,B,B,B
2727766,2021,18 anos,F,Preta,1,cursando,0,Privada,Goiânia,GO,,,,,0,,,E,F,D,D,5.0,F,C,C,B,A,B,B,B,B
2729064,2021,Entre 36 e 40 anos,F,Não declarado,1,concluiu,15,Não respondeu,São Bernardo do Campo,SP,,,,,0,,,D,E,C,B,1.0,C,B,C,A,A,B,B,A,B
2729521,2021,Entre 31 e 35 anos,F,Branca,1,concluiu,15,Não respondeu,Currais Novos,RN,,,,,0,,,E,E,D,D,2.0,I,C,C,B,A,B,C,D,B
2729989,2021,18 anos,M,Parda,1,cursando,0,Pública,Porto Ferreira,SP,551.5,,,509.6,0,,,D,G,C,D,2.0,H,B,B,B,A,B,C,B,B
2730561,2021,18 anos,M,Branca,1,cursando,0,Pública,Viçosa,MG,,,,,0,,,H,G,D,F,4.0,I,E,E,C,B,C,E,A,B
2731358,2021,Entre 26 e 30 anos,M,Parda,1,concluiu,7,Não respondeu,Brasília,DF,,,,,1,,,B,E,A,A,1.0,B,B,B,A,A,B,B,B,B
2731901,2021,Entre 36 e 40 anos,M,Branca,1,concluiu,15,Não respondeu,Maricá,RJ,,,,,1,,,D,D,D,B,2.0,D,B,B,A,A,B,C,A,B
2732269,2021,Entre 41 e 45 anos,M,Parda,1,concluiu,15,Não respondeu,São Luís,MA,,,,,0,,,E,E,D,F,4.0,F,E,D,A,A,B,E,C,B
2732695,2021,18 anos,M,Branca,1,concluiu,2,Não respondeu,Envira,AM,,,,,0,,,B,E,B,D,6.0,F,C,D,A,A,B,E,B,B
2733150,2021,22 anos,M,Parda,1,concluiu,3,Não respondeu,Curuçá,PA,,,,,1,,,E,E,F,B,7.0,B,B,C,A,A,B,B,A,B
2733883,2021,22 anos,F,Parda,1,concluiu,4,Não respondeu,Bocaiúva,MG,,,,,1,,,B,C,B,B,4.0,B,C,D,B,A,B,D,A,B
2734918,2021,23 anos,M,Parda,1,concluiu,5,Não respondeu,Olinda,PE,,,,,0,,,F,F,D,D,4.0,H,D,D,B,A,B,E,C,B
2735226,2021,20 anos,M,Branca,1,concluiu,3,Não respondeu,Manaus,AM,,,,,0,,,G,F,E,D,5.0,O,D,E,B,B,B,D,B,B
2736885,2021,18 anos,M,Parda,1,concluiu,1,Não respondeu,Parnamirim,RN,,,,,0,,,C,E,C,B,4.0,H,C,D,B,A,B,D,B,B
2737499,2021,22 anos,M,Branca,1,concluiu,4,Não respondeu,Ouro Branco,MG,,,,,0,,,E,G,C,D,4.0,I,C,E,D,A,B,E,B,B
2737928,2021,20 anos,M,Parda,1,concluiu,2,Não respondeu,São Gonçalo,RJ,,,,,0,,,E,E,C,B,4.0,F,C,C,B,A,B,D,B,B
2738392,2021,17 anos,M,Branca,1,cursando,0,Pública,Jaboatão dos Guararapes,PE,,,,,1,,,E,E,C,B,3.0,C,B,C,B,A,B,D,B,B
2739651,2021,18 anos,M,Branca,1,concluiu,1,Não respondeu,Mogi das Cruzes,SP,,,,,0,,,E,D,D,F,4.0,J,D,D,E,B,C,E,B,B
2740202,2021,19 anos,M,Branca,1,concluiu,1,Não respondeu,Niterói,RJ,,,,,0,,,F,F,D,F,3.0,E,B,C,B,A,B,D,C,B
2740206,2021,20 anos,M,Preta,1,concluiu,2,Não respondeu,Maceió,AL,,,,,1,,,E,C,C,C,5.0,D,B,C,A,A,B,C,A,B
2740294,2021,17 anos,M,Parda,1,cursando,0,Pública,Campo Grande,MS,,,,,0,,,G,F,D,B,5.0,F,C,D,B,B,B,D,D,B
2741100,2021,Entre 61 e 65 anos,F,Parda,1,concluiu,15,Não respondeu,Rio de Janeiro,RJ,,,,,1,,,C,C,C,B,2.0,D,B,C,A,A,B,C,B,B
2742384,2021,Entre 51 e 55 anos,F,Parda,1,concluiu,15,Não respondeu,São Raimundo Nonato,PI,,,,,1,,,A,E,A,A,5.0,B,B,C,A,A,B,C,A,B
2742434,2021,Entre 36 e 40 anos,F,Parda,1,concluiu,15,Não respondeu,Tomé-Açu,PA,,,,,1,,,E,B,B,F,3.0,E,B,C,A,B,B,C,B,B
2742860,2021,Entre 36 e 40 anos,F,Parda,1,concluiu,0,Não respondeu,Arapiraca,AL,,,,,1,,,B,C,A,A,5.0,A,B,B,A,A,B,B,A,A
2744026,2021,18 anos,F,Branca,1,concluiu,1,Não respondeu,Barra do Garças,MT,,,,,1,,,C,E,A,D,5.0,C,C,C,A,B,B,D,A,B
2744282,2021,23 anos,M,Parda,1,concluiu,6,Não respondeu,Diadema,SP,,,,,0,,,E,C,D,F,1.0,B,B,B,B,A,A,B,B,B
2744414,2021,Menor de 17 anos,M,Parda,1,cursando,0,Não respondeu,Contagem,MG,,,,,0,,,F,E,F,F,5.0,H,C,C,B,A,B,C,C,B
2745342,2021,17 anos,M,Branca,1,cursando,0,Pública,Curitiba,PR,,,,,0,,,E,H,C,C,5.0,H,B,D,B,B,B,D,B,B
2746066,2021,Entre 31 e 35 anos,F,Não declarado,1,concluiu,14,Não respondeu,Porto Alegre,RS,,,,,1,,,F,E,D,B,3.0,G,B,D,A,A,B,C,B,B
2746131,2021,18 anos,M,Branca,1,cursando,0,Pública,Guarulhos,SP,,,,,0,,,D,E,C,B,4.0,O,B,D,C,A,B,D,B,B
2747866,2021,18 anos,M,Branca,1,cursando,0,Pública,Pedro Leopoldo,MG,,,,,1,,,E,D,F,D,4.0,A,B,A,B,A,B,E,B,B
2750911,2021,25 anos,M,Preta,1,concluiu,6,Não respondeu,Capim Grosso,BA,,,,,1,,,E,E,B,D,2.0,C,B,B,A,B,A,C,B,B
2751827,2021,Entre 36 e 40 anos,M,Branca,1,concluiu,15,Não respondeu,Petrolina,PE,401.8,,,948.5,1,,,C,B,D,B,6.0,G,C,E,C,A,C,E,D,B
2753240,2021,19 anos,M,Branca,1,concluiu,2,Não respondeu,Eldorado do Sul,RS,,,,,1,,,D,F,A,D,2.0,F,B,D,A,A,B,C,B,B
2753325,2021,17 anos,F,Não declarado,1,cursando,0,Pública,Rio Brilhante,MS,,,,,1,,,E,G,C,D,3.0,F,B,C,B,A,B,D,A,B
2754892,2021,19 anos,F,Parda,1,concluiu,3,Não respondeu,Salinópolis,PA,,,,,0,,,B,B,C,B,2.0,B,B,C,A,A,B,B,A,A
2755187,2021,17 anos,F,Preta,1,cursando,0,Pública,Maceió,AL,,,,,0,,,D,D,C,C,4.0,D,C,D,B,B,B,D,A,B
2755658,2021,19 anos,M,Parda,1,concluiu,1,Não respondeu,Juazeiro do Norte,CE,567.3,,,453.7,1,,,H,H,D,D,3.0,C,B,C,B,C,B,D,B,B
2755687,2021,20 anos,M,Parda,1,cursando,0,Pública,Rio de Janeiro,RJ,,,,,0,,,C,E,B,B,2.0,C,B,B,A,A,B,B,B,B
2756016,2021,22 anos,F,Preta,1,concluiu,4,Não respondeu,Montes Claros,MG,,,,,0,,,B,D,A,B,3.0,B,B,C,B,A,B,D,A,B
2757341,2021,17 anos,M,Não declarado,1,cursando,0,Pública,Palmas,TO,,,,,1,,,E,E,C,B,3.0,B,B,C,A,B,B,D,A,B
2757603,2021,18 anos,F,Branca,2,cursando,0,Privada,Cabo Frio,RJ,,,,,1,,,E,E,D,B,3.0,E,E,D,C,B,B,E,B,B
2757795,2021,24 anos,M,Preta,1,concluiu,7,Não respondeu,Brasília,DF,,,,,0,,,E,F,B,B,4.0,C,B,D,B,A,B,D,B,B
2759078,2021,19 anos,M,Parda,1,não concluiu,0,Não respondeu,Brasília,DF,,,,,0,,,D,E,F,B,3.0,C,B,C,A,A,B,D,A,B
2759093,2021,Menor de 17 anos,M,Branca,1,cursando,0,Não respondeu,João Pessoa,PB,,,,,0,,,F,G,D,D,3.0,M,C,D,C,A,B,D,E,B
2759587,2021,19 anos,M,Branca,1,concluiu,1,Não respondeu,Itaperuna,RJ,,,,,0,,,E,D,C,D,4.0,F,B,C,B,A,B,E,A,B
2760222,2021,17 anos,M,Parda,2,cursando,0,Não respondeu,Sete Lagoas,MG,,,,,0,,,D,D,D,D,3.0,C,B,B,B,B,B,D,A,B
2760447,2021,18 anos,F,Branca,1,concluiu,1,Não respondeu,Campos dos Goytacazes,RJ,,,,,0,,,B,E,C,D,2.0,H,B,C,A,A,B,C,B,B
2760991,2021,17 anos,M,Parda,1,cursando,0,Não respondeu,Santa Bárbara,MG,,,,,0,,,E,E,D,D,5.0,G,C,D,C,A,B,E,A,B
2761375,2021,17 anos,F,Não declarado,1,cursando,0,Não respondeu,Brasília,DF,425.1,,,461.0,0,,,H,H,C,B,4.0,C,D,E,B,A,E,E,B,B
2762050,2021,Entre 31 e 35 anos,M,Parda,1,concluiu,14,Não respondeu,Salvador,BA,527.3,,,457.4,0,,,E,E,D,F,3.0,D,B,C,A,B,B,C,B,B
2765646,2021,17 anos,M,Branca,1,cursando,0,Pública,Indaial,SC,,,,,0,,,H,E,C,C,5.0,F,C,E,B,B,B,E,B,B
2766802,2021,22 anos,M,Preta,1,concluiu,4,Não respondeu,São Paulo,SP,390.9,,,369.1,1,,,E,E,F,D,4.0,C,B,B,A,A,B,B,B,B
2770090,2021,Entre 36 e 40 anos,M,Preta,1,concluiu,15,Não respondeu,Campos Belos,GO,,,,,1,,,A,A,F,F,1.0,A,B,B,A,B,A,B,A,A
2770257,2021,18 anos,M,Indígena,1,cursando,0,Não respondeu,Feira de Santana,BA,465.3,,,391.1,0,,,E,D,D,F,3.0,D,B,C,B,A,B,D,E,B
2770458,2021,24 anos,M,Branca,1,concluiu,0,Não respondeu,Mossoró,RN,,,,,1,,,F,E,D,D,2.0,B,C,B,A,B,A,C,B,B
2771852,2021,17 anos,F,Parda,1,cursando,0,Não respondeu,Belém,PA,,,,,1,,,E,E,D,D,4.0,C,B,C,B,A,B,D,B,B
2772472,2021,20 anos,M,Parda,1,concluiu,2,Não respondeu,Santa Cruz do Capibaribe,PE,,,,,0,,,E,D,A,A,4.0,B,B,C,A,B,B,D,A,B
2772534,2021,18 anos,M,Parda,1,cursando,0,Pública,Belo Jardim,PE,,,,,0,,,D,E,F,B,5.0,D,B,D,A,B,B,E,B,B
2773636,2021,19 anos,F,Parda,1,concluiu,1,Não respondeu,Paulista,PE,,,,,1,,,B,C,C,B,4.0,C,B,C,B,A,B,E,A,B
2773703,2021,17 anos,F,Parda,1,cursando,0,Pública,Macapá,AP,,,,,1,,,D,E,B,D,4.0,D,B,D,A,A,B,C,A,A
2774237,2021,20 anos,F,Preta,1,cursando,0,Pública,São Gonçalo,RJ,,,,,0,,,D,E,F,D,3.0,F,B,C,A,A,B,D,B,B
2776950,2021,Entre 26 e 30 anos,M,Parda,1,concluiu,9,Não respondeu,Formiga,MG,,,,,1,,,B,F,D,D,5.0,F,C,C,B,A,B,C,A,B
2777266,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,Recife,PE,,,,,0,,,E,E,F,D,3.0,E,B,D,A,A,B,D,B,B
2777741,2021,19 anos,M,Branca,1,concluiu,1,Não respondeu,Goiânia,GO,,,,,0,,,E,D,D,B,4.0,F,D,D,C,A,B,E,C,B
2778028,2021,21 anos,M,Branca,1,concluiu,4,Não respondeu,Tubarão,SC,,,,,0,,,D,E,C,F,3.0,D,B,D,B,A,B,E,B,B
2778156,2021,Entre 31 e 35 anos,F,Preta,1,concluiu,13,Não respondeu,Imperatriz,MA,,,,,1,,,C,A,C,B,4.0,G,B,C,A,B,B,C,A,B
2778280,2021,18 anos,M,Branca,1,concluiu,1,Não respondeu,Governador Valadares,MG,449.2,,,496.6,1,,,B,A,C,C,3.0,C,B,C,A,B,B,C,A,B
2779607,2021,18 anos,F,Branca,1,concluiu,1,Não respondeu,Paulistana,PI,,,,,1,,,C,E,A,C,4.0,B,B,D,A,C,B,E,C,B
2779932,2021,22 anos,F,Branca,1,concluiu,4,Não respondeu,Viçosa,MG,,,,,0,,,F,E,D,D,1.0,I,B,B,B,A,B,B,C,B
2781160,2021,Entre 46 e 50 anos,M,Branca,1,concluiu,15,Não respondeu,Poços de Caldas,MG,,,,,1,,,E,C,D,C,5.0,C,B,D,B,A,B,D,C,B
2782371,2021,17 anos,M,Preta,1,cursando,0,Pública,Brasília,DF,,,,,0,,,D,E,B,B,8.0,C,D,E,A,B,E,E,C,B
2782922,2021,21 anos,M,Preta,3,cursando,0,Pública,Cambé,PR,413.0,,,503.1,0,,,D,D,B,C,5.0,D,B,C,A,A,B,B,B,B
2783677,2021,23 anos,F,Branca,1,concluiu,5,Não respondeu,Cachoeira do Sul,RS,,,,,1,,,B,B,A,A,3.0,B,B,B,A,B,B,C,B,B
2786656,2021,Entre 26 e 30 anos,M,Parda,1,concluiu,9,Não respondeu,Belo Horizonte,MG,,,,,0,,,G,G,D,D,1.0,H,B,B,A,A,B,B,B,B
2787132,2021,20 anos,F,Preta,1,concluiu,2,Não respondeu,Goiânia,GO,,,,,1,,,B,B,C,B,3.0,B,C,C,B,A,B,D,B,B
2788127,2021,19 anos,M,Branca,1,concluiu,2,Não respondeu,Paranaguá,PR,,,,,1,,,E,E,F,F,4.0,F,C,D,B,A,B,D,B,B
2788644,2021,23 anos,M,Branca,1,concluiu,3,Não respondeu,Belo Horizonte,MG,,,,,0,,,F,B,C,B,2.0,C,C,D,B,A,B,C,B,B
2788704,2021,19 anos,F,Parda,1,concluiu,2,Não respondeu,Francisco Sá,MG,,,,,1,,,D,G,A,D,4.0,E,B,D,B,B,B,D,B,B
2789171,2021,20 anos,M,Parda,2,concluiu,1,Não respondeu,Moju,PA,,,,,0,,,E,E,F,F,4.0,D,B,D,A,B,B,D,A,B
2789627,2021,17 anos,M,Parda,1,cursando,0,Pública,Tucuruí,PA,,,,,1,,,H,E,F,B,2.0,C,B,C,A,B,B,C,B,B
2790027,2021,18 anos,F,Branca,1,cursando,0,Não respondeu,Americana,SP,,,,,0,,,E,F,B,B,3.0,D,B,C,B,B,B,D,B,B
2790607,2021,18 anos,F,Parda,1,concluiu,1,Não respondeu,Belo Horizonte,MG,,,,,0,,,C,B,C,B,4.0,G,B,D,B,B,B,E,C,B
2791733,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,São Paulo,SP,,,,,0,,,F,F,D,F,3.0,P,C,C,B,B,B,D,C,B
2793138,2021,Entre 31 e 35 anos,M,Parda,1,concluiu,15,Não respondeu,Goiânia,GO,,,,,0,,,F,G,E,D,3.0,C,C,C,A,A,B,C,C,B
2794182,2021,20 anos,M,Parda,1,cursando,0,Pública,Rio de Janeiro,RJ,,,,,1,,,B,B,C,B,5.0,B,B,C,A,A,B,B,A,B
2795371,2021,Menor de 17 anos,M,Branca,1,cursando,0,Não respondeu,Belo Horizonte,MG,,,,,0,,,F,G,D,D,4.0,P,E,E,B,A,B,E,D,B
2798492,2021,Entre 26 e 30 anos,F,Preta,1,concluiu,9,Não respondeu,Pelotas,RS,,,,,1,,,E,E,F,F,1.0,A,B,C,A,A,B,B,B,B
2800749,2021,19 anos,F,Parda,1,concluiu,1,Não respondeu,Sete Lagoas,MG,,,,,0,,,D,F,B,B,5.0,D,B,C,A,B,B,C,B,B
2801117,2021,19 anos,M,Branca,1,concluiu,1,Não respondeu,Vila Velha,ES,,,,,0,,,G,G,E,E,5.0,Q,E,E,B,A,B,E,D,B
2801785,2021,17 anos,M,Parda,1,cursando,0,Pública,Maringá,PR,,,,,0,,,E,E,C,D,4.0,D,C,D,B,A,B,E,B,B
2802092,2021,17 anos,M,Branca,1,cursando,0,Não respondeu,Americana,SP,580.8,,,642.2,0,,,F,C,E,D,3.0,M,C,D,B,A,B,D,C,B
2802158,2021,18 anos,F,Branca,1,cursando,0,Pública,Marabá,PA,,,,,0,,,A,E,A,B,5.0,B,B,C,A,A,B,B,A,A
2802924,2021,Entre 26 e 30 anos,F,Parda,1,concluiu,10,Não respondeu,Manaus,AM,,,,,0,,,B,D,C,B,2.0,E,B,B,B,A,B,C,C,B
2803441,2021,20 anos,M,Branca,1,concluiu,1,Não respondeu,Porto Alegre,RS,,,,,0,,,H,F,F,D,2.0,I,C,C,B,A,B,B,C,B
2803693,2021,Entre 36 e 40 anos,M,Amarela,1,concluiu,15,Não respondeu,Vila Velha,ES,,,,,0,,,C,E,D,B,2.0,G,B,C,B,A,B,C,C,B
2803949,2021,22 anos,F,Branca,1,concluiu,0,Não respondeu,Goiânia,GO,,,,,0,,,H,E,F,D,3.0,C,C,C,A,A,B,C,C,B
2806042,2021,18 anos,M,Parda,1,cursando,0,Não respondeu,São Felipe,BA,,,,,0,,,C,D,C,B,4.0,B,B,C,A,B,B,B,A,B
2806518,2021,23 anos,F,Preta,1,concluiu,3,Não respondeu,Brasília,DF,,,,,1,,,H,H,D,D,3.0,B,B,B,A,A,B,B,A,A
2806570,2021,18 anos,M,Branca,1,cursando,0,Privada,Brasília,DF,,,,,0,,,F,F,D,D,4.0,P,D,D,C,A,B,E,C,B
2806602,2021,19 anos,F,Parda,1,concluiu,1,Não respondeu,São Luís,MA,,,,,1,,,D,C,B,B,5.0,B,B,C,B,B,B,C,A,B
2807175,2021,17 anos,M,Branca,1,cursando,0,Pública,São Paulo,SP,,,,,0,,,D,E,C,D,3.0,F,B,C,A,A,B,D,B,B
2807970,2021,17 anos,M,Parda,1,cursando,0,Pública,São Paulo,SP,,,,,1,,,E,E,D,A,5.0,O,E,E,B,B,B,E,D,B
2808287,2021,17 anos,F,Parda,1,cursando,0,Pública,Campo Grande,MS,423.3,,,421.1,0,,,C,C,C,B,6.0,D,C,D,B,C,B,E,C,B
2808336,2021,19 anos,F,Branca,1,cursando,0,Pública,Santos,SP,,,,,1,,,E,E,B,D,4.0,D,B,C,B,A,B,D,B,B
2810790,2021,20 anos,M,Não declarado,1,concluiu,2,Não respondeu,Carutapera,MA,,,,,1,,,E,E,C,C,6.0,H,B,C,B,A,B,E,A,B
2810840,2021,18 anos,F,Parda,1,cursando,0,Pública,Itabirito,MG,,,,,0,,,B,C,D,B,3.0,D,C,D,B,C,B,D,B,B
2812085,2021,18 anos,F,Preta,1,cursando,0,Pública,Feijó,AC,,,,,1,,,F,B,D,A,5.0,B,B,B,A,A,B,A,B,B
2812276,2021,17 anos,F,Parda,1,cursando,0,Pública,Rio Preto da Eva,AM,,,,,0,,,E,E,C,B,5.0,C,B,D,A,B,B,C,A,A
2812814,2021,17 anos,M,Parda,1,cursando,0,Não respondeu,Porto Velho,RO,,,,,0,,,D,E,F,D,4.0,J,B,D,B,A,B,E,B,B
2812930,2021,19 anos,F,Amarela,1,cursando,0,Pública,Macapá,AP,,,,,0,,,A,B,B,B,4.0,B,B,C,A,A,B,B,A,B
2815330,2021,Menor de 17 anos,F,Parda,1,cursando,0,Não respondeu,Fortaleza,CE,,,,,0,,,G,G,D,D,4.0,L,E,D,B,A,B,E,B,B
2815933,2021,Entre 26 e 30 anos,F,Parda,1,concluiu,9,Não respondeu,Breves,PA,,,,,1,,,B,C,F,B,10.0,C,B,D,A,A,B,B,A,B
2816736,2021,Menor de 17 anos,F,Parda,1,cursando,0,Não respondeu,Unaí,MG,410.3,,,387.6,0,,,D,E,B,B,5.0,D,B,D,B,D,B,E,A,B
2816780,2021,Entre 41 e 45 anos,F,Parda,1,concluiu,0,Não respondeu,Rio de Janeiro,RJ,,,,,0,,,H,B,F,B,3.0,C,B,B,A,A,B,B,A,A
2818215,2021,Entre 36 e 40 anos,F,Branca,1,concluiu,0,Não respondeu,Itapetininga,SP,,,,,1,,,B,B,B,F,4.0,C,C,D,B,A,B,D,B,B
2819967,2021,18 anos,F,Parda,1,cursando,0,Pública,Boa Vista,RR,,,,,0,,,E,E,D,B,3.0,B,B,C,B,A,B,B,A,B
2821381,2021,19 anos,M,Branca,1,cursando,0,Privada,Natal,RN,,,,,0,,,E,C,D,B,2.0,J,C,D,B,A,B,D,B,B
2821701,2021,Entre 46 e 50 anos,M,Preta,1,concluiu,15,Não respondeu,São Luís,MA,,,,,1,,,C,B,A,A,4.0,C,C,D,A,A,B,D,B,B
2821850,2021,20 anos,M,Branca,1,concluiu,4,Não respondeu,Bequimão,MA,,,,,0,,,E,C,A,A,4.0,B,A,C,A,B,B,C,A,A
2822379,2021,Menor de 17 anos,M,Branca,1,cursando,0,Não respondeu,Caruaru,PE,392.0,,,772.7,0,,,G,G,E,D,4.0,L,E,E,C,B,B,E,E,B
2822404,2021,21 anos,M,Branca,1,concluiu,3,Não respondeu,Vila Velha,ES,,,,,0,,,F,G,F,F,4.0,M,E,E,C,A,B,E,E,B
2822724,2021,20 anos,M,Branca,1,cursando,0,Pública,Jaboatão dos Guararapes,PE,,,,,0,,,E,B,B,B,3.0,A,B,B,A,A,B,B,A,B
2823409,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,Lages,SC,,,,,0,,,F,F,D,D,3.0,H,B,D,B,A,B,D,C,B
2824476,2021,18 anos,F,Não declarado,1,concluiu,2,Não respondeu,Santana do Ipanema,AL,,,,,0,,,G,G,D,D,4.0,H,C,C,A,B,B,D,B,B
2824567,2021,19 anos,M,Branca,1,concluiu,2,Não respondeu,Blumenau,SC,,,,,0,,,C,C,F,B,4.0,C,C,D,D,B,B,E,A,B
2825520,2021,Entre 31 e 35 anos,M,Parda,1,concluiu,15,Não respondeu,Castanhal,PA,,,,,1,,,C,E,D,D,6.0,F,C,E,A,B,B,D,B,B
