,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
59098,2021,17 anos,F,Branca,1,cursando,0,Pública,Castelo,ES,,,,,1,,,C,D,F,B,4.0,B,B,C,A,B,B,C,A,B
59324,2021,17 anos,M,Parda,1,cursando,0,Pública,Fortaleza,CE,,,,,0,,,E,E,C,B,5.0,C,B,C,A,A,B,D,A,B
59724,2021,18 anos,M,Parda,1,cursando,0,Pública,Acopiara,CE,,,,,1,,,B,B,A,A,3.0,B,B,B,A,A,B,B,A,B
60277,2021,20 anos,M,Parda,1,concluiu,1,Não respondeu,Loanda,PR,,,,,0,,,D,D,C,C,3.0,M,B,D,B,C,C,E,B,B
60477,2021,Entre 26 e 30 anos,F,Branca,1,concluiu,8,Não respondeu,Guarapari,ES,,,,,1,,,D,E,D,D,2.0,B,B,B,A,A,B,B,B,B
60958,2021,25 anos,F,Branca,1,concluiu,5,Não respondeu,Divinópolis,MG,,,,,1,,,F,F,F,E,4.0,B,C,D,B,A,B,D,C,B
61563,2021,19 anos,F,Parda,1,cursando,0,Pública,Cajazeiras,PB,,,,,1,,,H,D,A,A,6.0,A,B,B,A,B,B,B,A,B
61703,2021,18 anos,M,Preta,1,cursando,0,Pública,Aracaju,SE,,,,,0,,,H,D,C,B,4.0,C,B,C,A,A,B,D,A,B
63045,2021,Entre 31 e 35 anos,M,Parda,1,concluiu,0,Não respondeu,Jaraguá do Sul,SC,,,,,1,,,C,B,D,B,5.0,C,B,C,B,A,B,C,A,A
63771,2021,17 anos,M,Branca,1,cursando,0,Pública,Belo Horizonte,MG,511.7,,,598.1,0,,,E,E,B,B,4.0,F,C,D,C,B,B,E,B,B
64394,2021,19 anos,M,Branca,1,cursando,0,Pública,Bom Jesus de Goiás,GO,,,,,0,,,B,B,B,A,3.0,B,B,D,A,A,B,D,A,B
65384,2021,18 anos,F,Parda,1,concluiu,1,Não respondeu,Ubiratã,PR,,,,,1,,,E,D,F,B,2.0,B,B,C,A,A,B,C,A,B
65437,2021,19 anos,F,Parda,1,concluiu,2,Não respondeu,São Paulo,SP,,,,,0,,,C,E,C,D,5.0,E,B,C,A,A,B,C,A,B
66050,2021,19 anos,F,Parda,1,concluiu,2,Não respondeu,Feira de Santana,BA,,,,,0,,,D,F,A,D,7.0,F,C,D,B,A,C,D,B,B
