,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
1225162,2020,18 anos,F,Branca,1,cursando,Pública,Palhoça,SC,,599.4,558.3,,0,1.0,600.0,E,F,F,D,3.0,I,B,D,A,A,C,D,C,B
1226718,2020,20 anos,F,Parda,1,cursando,Pública,Curitiba,PR,,,,,1,,,,,,,,,,,,,,,,
1232893,2020,18 anos,F,Preta,1,cursando,Pública,Boa Vista,RR,,498.1,496.7,,1,1.0,360.0,E,E,B,F,4.0,B,B,C,A,A,B,D,A,A
1233036,2020,19 anos,M,Parda,1,concluiu,Não respondeu,São Luís,MA,,632.7,613.1,,0,1.0,680.0,H,G,B,E,5.0,C,B,C,A,A,B,B,A,B
1239010,2020,17 anos,M,Parda,1,cursando,Pública,Ibiúna,SP,,422.1,550.7,,0,1.0,520.0,D,E,A,F,7.0,E,B,D,B,B,B,B,A,B
1251094,2020,17 anos,M,Parda,1,cursando,Pública,Juazeirinho,PB,,515.9,469.4,,1,1.0,340.0,C,C,A,A,6.0,B,B,C,B,B,B,D,B,B
1261613,2020,20 anos,F,Branca,1,concluiu,Não respondeu,Tubarão,SC,,348.0,430.2,,0,1.0,360.0,C,C,C,C,5.0,H,B,D,C,B,B,E,B,B
1287437,2020,Entre 26 e 30 anos,M,Parda,1,concluiu,Não respondeu,Rio Branco,AC,,443.7,596.9,,0,1.0,420.0,C,C,B,B,5.0,C,B,C,A,B,B,D,A,A
1287641,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Várzea Grande,MT,,618.8,614.8,,1,1.0,760.0,F,F,C,B,4.0,D,B,B,A,B,B,E,A,A
1287863,2020,Menor de 17 anos,F,Parda,1,cursando,Não respondeu,Maceió,AL,,520.4,527.1,,0,1.0,640.0,G,F,E,E,4.0,K,C,D,B,A,B,D,C,B
1289984,2020,Entre 31 e 35 anos,M,Branca,1,concluiu,Não respondeu,Frederico Westphalen,RS,,618.7,565.6,,1,1.0,300.0,D,C,C,A,3.0,B,B,C,B,A,B,C,A,B
1292244,2020,17 anos,M,Parda,1,concluiu,Não respondeu,Ibotirama,BA,,489.3,496.3,,0,1.0,740.0,D,D,B,B,4.0,E,C,C,B,B,B,D,A,B
1292516,2020,17 anos,F,Não declarado,2,cursando,Não respondeu,Fortaleza,CE,,589.5,583.8,,0,3.0,0.0,D,E,C,B,3.0,B,C,C,A,A,B,D,A,B
