,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
1637274,2020,Entre 36 e 40 anos,M,Parda,1,concluiu,Não respondeu,Recife,PE,,,,,0,,,D,G,D,D,2.0,E,C,D,B,A,B,C,B,B
1637660,2020,Entre 51 e 55 anos,F,Amarela,1,concluiu,Não respondeu,Santa Luzia,MG,,,,,1,,,E,B,D,D,3.0,F,C,C,A,A,B,C,B,B
1639301,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Nanuque,MG,,,,,0,,,B,B,B,B,3.0,B,B,C,A,A,B,B,A,B
1639697,2020,18 anos,M,Parda,1,concluiu,Não respondeu,Curitiba,PR,,,,,0,,,E,E,B,B,5.0,G,D,D,B,A,B,E,B,B
1641043,2020,Menor de 17 anos,M,Parda,2,cursando,Não respondeu,Campo Formoso,BA,,,,,1,,,E,E,C,B,4.0,E,B,D,A,B,B,C,B,B
1641529,2020,17 anos,F,Preta,1,cursando,Privada,Maceió,AL,,,,,1,,,D,D,B,C,4.0,D,B,C,A,B,B,C,A,B
1642222,2020,Entre 36 e 40 anos,F,Parda,1,concluiu,Não respondeu,Brasília,DF,,,,,0,,,H,E,C,B,4.0,D,B,D,B,A,B,D,C,B
1645636,2020,17 anos,F,Parda,1,cursando,Não respondeu,João Pessoa,PB,,,,,0,,,B,B,C,C,3.0,B,B,B,A,A,B,C,A,B
1647149,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Serra,ES,,,,,1,,,C,B,A,A,3.0,D,B,C,A,B,B,C,A,A
1647253,2020,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Angicos,RN,0.0,,,0.0,1,,,E,B,C,F,7.0,A,B,D,A,A,B,E,A,B
1649195,2020,19 anos,M,Preta,1,cursando,Pública,Serra,ES,,,,,0,,,C,E,C,B,5.0,B,B,C,A,A,B,E,A,B
1650932,2020,18 anos,M,Branca,1,cursando,Pública,Bocaiúva,MG,,,,,0,,,H,E,B,D,6.0,G,B,D,C,A,B,E,B,B
1655159,2020,18 anos,M,Branca,1,cursando,Privada,Torres,RS,,,,,1,,,E,F,D,D,3.0,E,B,C,C,A,B,D,D,B
1656361,2020,Entre 31 e 35 anos,M,Preta,1,concluiu,Não respondeu,Foz do Iguaçu,PR,,,,,1,,,A,A,C,F,3.0,C,B,D,B,B,B,C,A,A
1658020,2020,18 anos,F,Parda,1,concluiu,Não respondeu,São José do Rio Preto,SP,,,,,1,,,E,F,D,D,4.0,I,C,D,B,A,B,C,B,B
1659990,2020,19 anos,M,Parda,1,cursando,Pública,Coxim,MS,,,,,0,,,C,E,A,B,6.0,D,B,C,A,B,B,A,A,A
1662434,2020,20 anos,M,Branca,1,concluiu,Não respondeu,Ituiutaba,MG,,,,,1,,,B,C,A,F,4.0,E,B,D,A,B,B,D,B,B
1662611,2020,18 anos,F,Parda,1,concluiu,Não respondeu,Primavera do Leste,MT,,,,,0,,,B,E,F,B,2.0,B,B,C,A,A,B,A,B,B
1666004,2020,Entre 36 e 40 anos,F,Parda,1,concluiu,Não respondeu,Manaus,AM,,,,,0,,,E,C,C,B,3.0,B,B,B,A,A,B,D,B,B
1666076,2020,24 anos,F,Branca,1,concluiu,Não respondeu,São Luís,MA,,,,,1,,,B,E,B,B,4.0,B,B,C,A,A,B,C,A,B
1669331,2020,17 anos,M,Branca,1,cursando,Pública,Suzano,SP,,,,,1,,,E,E,C,B,2.0,C,B,C,A,A,B,B,B,B
1669542,2020,19 anos,F,Parda,1,concluiu,Não respondeu,São Vicente Ferrer,MA,0.0,,,0.0,1,,,E,E,C,A,5.0,A,B,C,A,B,B,B,A,A
1670272,2020,18 anos,F,Preta,1,concluiu,Não respondeu,Cáceres,MT,,,,,0,,,E,C,C,B,3.0,B,B,C,A,B,B,D,A,A
1670658,2020,24 anos,F,Parda,1,concluiu,Não respondeu,Sooretama,ES,,,,,0,,,B,C,A,A,4.0,C,B,C,A,A,B,C,A,B
1671346,2020,18 anos,M,Branca,1,cursando,Privada,Curitiba,PR,,,,,0,,,G,E,E,F,4.0,M,D,D,C,A,C,E,D,B
1672530,2020,18 anos,M,Parda,2,cursando,Pública,Rio Verde,GO,,,,,0,,,H,E,B,B,7.0,D,B,C,B,A,B,C,A,A
1673385,2020,17 anos,F,Branca,1,cursando,Pública,Piracicaba,SP,,,,,1,,,E,D,B,B,4.0,H,C,D,B,A,B,D,B,B
1674264,2020,18 anos,M,Parda,1,cursando,Pública,Fortaleza,CE,,,,,0,,,D,D,B,B,4.0,C,B,C,A,A,B,C,A,A
1676186,2020,19 anos,F,Parda,2,cursando,Privada,Belém,PA,,,,,1,,,E,E,D,D,7.0,B,C,E,A,A,B,E,A,B
1679123,2020,23 anos,F,Branca,1,concluiu,Não respondeu,Rancharia,SP,,,,,0,,,H,E,F,B,1.0,A,B,B,A,A,B,B,B,B
1682983,2020,Entre 26 e 30 anos,M,Parda,1,concluiu,Não respondeu,Coração de Jesus,MG,,,,,0,,,B,B,A,A,1.0,B,B,B,A,A,B,B,A,A
1685991,2020,17 anos,M,Parda,1,cursando,Não respondeu,Teixeira de Freitas,BA,,,,,0,,,B,E,D,D,3.0,B,C,D,A,A,B,D,B,B
1686831,2020,21 anos,F,Preta,1,concluiu,Não respondeu,Grajaú,MA,,,,,1,,,B,B,F,F,3.0,B,B,C,A,C,B,C,A,A
1689330,2020,18 anos,F,Parda,1,cursando,Pública,Tauá,CE,,,,,1,,,A,B,A,A,3.0,B,B,B,A,B,B,B,A,A
1689854,2020,22 anos,M,Branca,1,concluiu,Não respondeu,Brasília,DF,,,,,1,,,C,C,B,B,8.0,E,C,E,C,B,C,E,B,B
1690318,2020,19 anos,M,Parda,1,concluiu,Não respondeu,Brumado,BA,,,,,0,,,B,D,C,B,3.0,C,B,D,A,A,B,C,A,B
1691362,2020,18 anos,F,Parda,1,cursando,Pública,Cidade Ocidental,GO,,,,,1,,,A,H,A,B,4.0,C,B,C,B,A,B,C,A,B
1691643,2020,18 anos,M,Parda,2,concluiu,Não respondeu,Valença do Piauí,PI,,,,,1,,,B,E,A,B,2.0,B,B,C,A,B,B,C,A,A
1691966,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Senador Canedo,GO,,,,,1,,,E,D,C,F,4.0,B,B,C,A,A,B,D,A,B
1692960,2020,24 anos,F,Parda,1,concluiu,Não respondeu,São José de Ribamar,MA,,,,,1,,,D,B,B,B,3.0,B,B,C,A,A,B,C,A,A
1693600,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Nova Iguaçu,RJ,,,,,0,,,D,E,C,D,3.0,C,B,A,A,A,B,D,A,B
1698581,2020,Menor de 17 anos,F,Branca,1,cursando,Não respondeu,Aparecida de Goiânia,GO,523.1,,,518.0,0,,,B,F,C,D,5.0,I,C,D,B,A,B,E,B,B
1700039,2020,19 anos,F,Preta,1,cursando,Pública,Macapá,AP,,,,,0,,,C,E,C,B,7.0,B,B,C,A,A,B,C,A,A
1700107,2020,18 anos,F,Parda,1,cursando,Pública,Santa Quitéria,CE,,,,,1,,,B,B,A,A,3.0,B,B,B,A,A,B,A,A,A
1700695,2020,24 anos,M,Preta,1,concluiu,Não respondeu,Brasília,DF,,,,,1,,,B,A,B,B,5.0,B,B,C,A,A,B,D,A,B
1701293,2020,17 anos,F,Parda,1,cursando,Pública,Baturité,CE,,,,,0,,,E,E,D,A,3.0,B,B,C,A,A,B,B,A,B
1704924,2020,18 anos,M,Preta,1,concluiu,Não respondeu,Bertioga,SP,,,,,0,,,B,D,B,B,3.0,D,B,B,B,A,B,D,B,B
1705424,2020,Menor de 17 anos,F,Parda,1,cursando,Não respondeu,Capelinha,MG,,,,,1,,,A,B,A,A,3.0,A,B,B,A,A,B,B,A,A
1705600,2020,Entre 26 e 30 anos,M,Branca,1,concluiu,Não respondeu,Fortaleza,CE,,,,,0,,,H,H,B,A,4.0,B,B,B,A,A,B,B,B,B
1706687,2020,17 anos,M,Branca,1,cursando,Privada,Maringá,PR,590.7,,,578.7,0,,,F,G,D,D,4.0,J,D,D,B,A,B,D,B,B
1707846,2020,18 anos,F,Parda,1,concluiu,Não respondeu,Teresina,PI,,,,,0,,,G,F,E,D,4.0,N,D,D,C,A,B,E,D,B
1708278,2020,Entre 51 e 55 anos,F,Preta,1,concluiu,Não respondeu,São José dos Campos,SP,,,,,0,,,C,C,A,A,4.0,E,B,C,A,A,B,D,A,B
1708939,2020,22 anos,F,Branca,1,não concluiu,Não respondeu,Maricá,RJ,,,,,0,,,B,A,B,B,2.0,B,B,B,A,A,B,B,A,A
1711179,2020,17 anos,M,Branca,1,cursando,Pública,Uberlândia,MG,,,,,0,,,D,C,B,B,3.0,C,B,C,A,A,B,B,A,B
1711496,2020,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Tucuruí,PA,,,,,0,,,B,H,C,F,5.0,B,B,B,A,B,B,C,A,A
1711535,2020,17 anos,F,Parda,1,cursando,Pública,Mogi das Cruzes,SP,,,,,1,,,D,E,D,D,5.0,K,C,E,C,A,C,E,C,B
1713119,2020,18 anos,F,Parda,1,cursando,Pública,Santa Izabel do Pará,PA,,,,,1,,,E,E,B,A,5.0,B,B,D,A,A,B,D,A,A
1714232,2020,Entre 46 e 50 anos,M,Branca,1,concluiu,Não respondeu,Macapá,AP,,,,,1,,,B,C,A,A,6.0,B,B,C,A,A,B,E,B,A
1714964,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Tucuruí,PA,,,,,1,,,D,D,B,B,4.0,B,B,D,A,A,B,D,B,B
1717925,2020,18 anos,F,Parda,1,cursando,Pública,São Luís de Montes Belos,GO,,,,,1,,,E,E,A,B,3.0,B,B,C,A,A,B,B,A,A
1718020,2020,21 anos,M,Branca,1,concluiu,Não respondeu,Tarauacá,AC,,,,,1,,,B,B,A,B,12.0,B,B,D,A,A,B,B,A,A
1719745,2020,Menor de 17 anos,M,Preta,1,cursando,Não respondeu,Ipiaú,BA,,,,,0,,,E,E,B,D,4.0,B,B,D,A,A,B,B,B,B
1720794,2020,17 anos,M,Não declarado,1,cursando,Privada,São Paulo,SP,,,,,0,,,G,G,D,E,2.0,L,E,D,B,A,B,C,B,B
1721680,2020,18 anos,M,Parda,1,cursando,Pública,Salvador,BA,,,,,1,,,D,E,C,B,4.0,D,B,C,B,B,B,D,A,B
1722544,2020,21 anos,F,Preta,1,concluiu,Não respondeu,São Gonçalo dos Campos,BA,,,,,0,,,D,D,C,B,5.0,C,B,C,A,A,B,D,A,B
1725227,2020,17 anos,F,Branca,1,cursando,Pública,Orlândia,SP,,,,,0,,,F,E,E,D,4.0,M,C,D,B,A,C,E,B,B
1725930,2020,Entre 41 e 45 anos,F,Parda,1,concluiu,Não respondeu,Natal,RN,,,,,1,,,D,C,F,F,4.0,D,B,D,B,A,B,D,B,B
1726300,2020,Entre 26 e 30 anos,M,Parda,1,concluiu,Não respondeu,Barreiras,BA,,,,,1,,,B,B,C,B,4.0,D,B,C,A,A,B,E,B,B
1726781,2020,19 anos,M,Branca,1,concluiu,Não respondeu,Londrina,PR,,,,,0,,,,,,,,,,,,,,,,
1727808,2020,19 anos,M,Parda,1,cursando,Pública,Rio de Janeiro,RJ,,,,,0,,,B,C,B,B,6.0,B,B,C,A,A,B,C,A,B
1731971,2020,21 anos,M,Branca,1,concluiu,Não respondeu,Marília,SP,,,,,1,,,F,F,D,D,7.0,D,C,D,C,B,B,E,A,B
1733869,2020,23 anos,F,Parda,1,concluiu,Não respondeu,Rio Branco,AC,,,,,0,,,H,F,F,F,2.0,D,B,C,B,A,B,C,A,B
1734172,2020,17 anos,F,Branca,1,cursando,Privada,Araçatuba,SP,647.7,,,651.3,0,,,F,F,D,D,4.0,M,D,D,C,A,B,E,B,B
1734456,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Recife,PE,,,,,0,,,B,B,B,B,3.0,B,B,C,A,A,B,D,A,B
1734578,2020,22 anos,M,Preta,1,concluiu,Não respondeu,Rio de Janeiro,RJ,,,,,1,,,E,G,C,D,3.0,H,C,E,B,A,C,E,D,B
1734948,2020,Entre 36 e 40 anos,M,Branca,1,concluiu,Não respondeu,Rancharia,SP,,,,,1,,,A,B,A,B,2.0,C,B,C,B,A,B,B,B,B
1735831,2020,17 anos,F,Branca,1,cursando,Pública,Cajazeiras,PB,,,,,1,,,A,E,D,D,2.0,A,B,C,A,A,B,B,A,B
1736488,2020,18 anos,F,Branca,1,cursando,Pública,Lagoa da Prata,MG,,,,,1,,,E,C,C,B,5.0,E,C,D,C,A,B,E,B,B
1736842,2020,18 anos,M,Branca,1,cursando,Privada,Curitiba,PR,,,,,0,,,E,E,E,B,3.0,H,D,D,C,A,B,E,B,B
1737626,2020,18 anos,F,Parda,1,concluiu,Não respondeu,Parnaíba,PI,,,,,0,,,D,E,F,B,4.0,D,B,C,A,A,B,D,B,B
1741206,2020,17 anos,F,Parda,1,cursando,Pública,Teresina,PI,,,,,1,,,F,D,C,B,6.0,C,B,B,B,B,B,E,A,B
1741462,2020,18 anos,M,Branca,1,cursando,Pública,Rio Claro,SP,,,,,0,,,H,C,F,B,3.0,C,C,C,B,A,B,D,B,B
1743823,2020,17 anos,M,Parda,1,cursando,Não respondeu,Bom Jesus da Lapa,BA,,,,,0,,,E,E,C,B,3.0,B,C,D,A,B,B,B,B,A
1743893,2020,17 anos,F,Branca,1,cursando,Não respondeu,Porto Alegre,RS,,,,,0,,,E,E,C,B,2.0,E,C,D,B,B,B,D,C,B
1744201,2020,19 anos,M,Parda,1,cursando,Pública,Sete Lagoas,MG,,,,,0,,,E,E,D,B,3.0,D,C,D,B,A,B,B,B,B
1744402,2020,20 anos,F,Branca,1,concluiu,Não respondeu,Recife,PE,,,,,1,,,E,E,D,D,8.0,C,C,E,B,B,B,E,C,B
1748579,2020,18 anos,F,Branca,1,cursando,Pública,Encruzilhada do Sul,RS,,,,,1,,,D,B,D,A,3.0,I,C,C,B,A,B,D,B,B
1748726,2020,18 anos,M,Parda,1,concluiu,Não respondeu,Itapipoca,CE,,,,,0,,,F,E,E,D,5.0,J,C,D,C,C,B,E,D,B
1748911,2020,21 anos,F,Branca,1,concluiu,Não respondeu,Macau,RN,,,,,1,,,A,D,F,B,3.0,B,B,B,A,A,B,D,A,B
1748980,2020,21 anos,F,Preta,3,concluiu,Não respondeu,São José,SC,,,,,1,,,E,E,B,B,2.0,A,B,B,A,A,B,B,A,A
1749986,2020,25 anos,F,Branca,1,concluiu,Não respondeu,Ipatinga,MG,,,,,1,,,H,B,C,B,2.0,C,B,C,A,A,B,B,A,B
1750649,2020,17 anos,F,Parda,1,cursando,Não respondeu,Passira,PE,,,,,0,,,B,E,A,F,4.0,B,B,C,A,B,B,B,A,A
1752842,2020,19 anos,M,Parda,1,cursando,Pública,Brasília,DF,,,,,0,,,E,E,F,B,4.0,B,B,C,A,A,B,C,B,A
1753395,2020,Entre 36 e 40 anos,M,Branca,1,concluiu,Não respondeu,São José dos Campos,SP,,,,,0,,,B,C,A,B,4.0,D,B,B,B,A,B,C,A,B
1754497,2020,21 anos,F,Branca,1,concluiu,Não respondeu,Brasília,DF,,,,,0,,,F,E,F,F,4.0,H,B,C,B,B,B,D,C,B
1754539,2020,20 anos,F,Parda,1,concluiu,Não respondeu,Brasília,DF,,,,,1,,,E,D,B,B,1.0,C,B,B,A,A,B,B,B,B
1755311,2020,Menor de 17 anos,F,Branca,1,cursando,Não respondeu,Ituiutaba,MG,,,,,0,,,H,E,B,D,2.0,B,C,D,B,A,B,C,A,B
1755694,2020,Menor de 17 anos,F,Branca,1,cursando,Não respondeu,Campinas,SP,514.9,,,453.7,0,,,F,F,D,D,3.0,K,B,C,B,A,B,D,B,B
1755982,2020,Entre 31 e 35 anos,M,Parda,1,concluiu,Não respondeu,Fortaleza,CE,,,,,0,,,A,B,A,F,1.0,A,B,B,A,A,A,A,B,A
1756674,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Botucatu,SP,,,,,0,,,E,E,B,B,3.0,B,B,C,B,A,B,C,B,B
1757359,2020,20 anos,F,Preta,1,concluiu,Não respondeu,Varginha,MG,,,,,1,,,B,B,A,A,2.0,B,B,C,A,A,B,C,A,B
1757711,2020,24 anos,M,Parda,1,concluiu,Não respondeu,Foz do Iguaçu,PR,,,,,1,,,E,F,D,D,4.0,F,B,C,B,A,B,C,B,B
1757791,2020,17 anos,F,Branca,1,cursando,Privada,Presidente Prudente,SP,,,,,0,,,F,G,D,D,4.0,I,C,D,B,B,B,E,D,B
1758318,2020,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Piumhi,MG,,,,,0,,,C,F,D,D,2.0,D,B,C,B,B,B,C,B,B
1759163,2020,17 anos,F,Parda,1,cursando,Não respondeu,Governador Valadares,MG,,,,,0,,,H,E,F,B,5.0,B,B,C,A,A,B,C,A,B
1759227,2020,21 anos,F,Parda,1,concluiu,Não respondeu,Santo Antônio,RN,,,,,1,,,B,B,A,A,1.0,B,B,C,A,A,B,B,A,A
1759949,2020,20 anos,F,Branca,1,concluiu,Não respondeu,Cabo Frio,RJ,,,,,1,,,B,E,B,B,2.0,C,B,C,A,A,B,C,A,B
1760957,2020,17 anos,F,Parda,2,cursando,Pública,Caetité,BA,,,,,0,,,E,C,A,A,4.0,B,B,D,A,A,B,D,A,B
1761030,2020,18 anos,M,Branca,1,cursando,Pública,Caucaia,CE,,,,,0,,,D,E,C,B,3.0,C,B,E,B,A,B,E,B,B
1761480,2020,Entre 26 e 30 anos,F,Parda,1,concluiu,Não respondeu,Porto Alegre,RS,,,,,0,,,D,C,C,B,1.0,A,B,C,A,A,B,B,B,B
1762184,2020,Menor de 17 anos,F,Branca,1,cursando,Não respondeu,Itaobim,MG,,,,,0,,,B,E,A,A,4.0,B,B,C,B,A,B,C,A,B
1763877,2020,22 anos,F,Branca,1,concluiu,Não respondeu,Barcarena,PA,,,,,1,,,E,B,F,D,5.0,B,B,B,A,A,B,B,A,A
1764699,2020,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Andrelândia,MG,,,,,0,,,H,D,F,B,4.0,B,C,E,C,A,B,E,B,B
1765093,2020,18 anos,F,Preta,1,cursando,Pública,Águas Lindas de Goiás,GO,,,,,0,,,H,B,F,B,4.0,C,B,C,B,A,B,E,B,B
1766789,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Ilhéus,BA,,,,,1,,,H,H,B,B,4.0,B,B,C,A,A,B,D,A,B
1767680,2020,23 anos,F,Parda,1,cursando,Pública,Caucaia,CE,,,,,1,,,D,D,A,A,3.0,B,B,C,A,A,B,C,A,A
1769013,2020,18 anos,F,Parda,1,cursando,Não respondeu,Brusque,SC,,,,,1,,,H,F,F,B,2.0,B,B,B,A,A,B,B,A,A
1769067,2020,18 anos,F,Branca,1,cursando,Pública,Botucatu,SP,,,,,1,,,C,E,D,D,5.0,D,C,D,B,B,B,E,B,B
1769797,2020,18 anos,M,Parda,1,concluiu,Não respondeu,Araripina,PE,,,,,1,,,D,E,B,B,4.0,B,B,D,A,A,B,D,A,B
1771083,2020,Menor de 17 anos,F,Parda,1,cursando,Não respondeu,Cachoeiro de Itapemirim,ES,,,,,1,,,E,G,A,D,4.0,F,C,D,B,B,B,E,B,B
1771400,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Parauapebas,PA,,,,,0,,,E,C,C,C,3.0,B,B,C,A,A,B,D,A,B
1771612,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Manacapuru,AM,,,,,1,,,H,E,F,D,3.0,A,B,D,A,A,B,B,A,B
1773492,2020,18 anos,F,Branca,1,concluiu,Não respondeu,Campo Formoso,BA,,,,,1,,,H,H,F,A,4.0,B,B,C,A,A,B,C,A,B
1776012,2020,17 anos,F,Branca,1,cursando,Pública,Várzea Alegre,CE,583.5,,,682.2,0,,,H,D,C,D,4.0,B,B,D,A,B,B,C,B,A
1776143,2020,17 anos,F,Parda,1,cursando,Não respondeu,Senador Canedo,GO,,,,,1,,,B,A,B,B,4.0,C,C,D,B,B,B,D,A,B
1776697,2020,19 anos,F,Amarela,1,cursando,Pública,Fortaleza,CE,,,,,0,,,B,B,B,B,5.0,B,B,D,A,B,B,E,B,B
1777010,2020,18 anos,M,Parda,1,cursando,Pública,Conselheiro Lafaiete,MG,,,,,0,,,E,E,B,B,3.0,B,B,D,A,A,B,D,B,B
1777281,2020,17 anos,F,Parda,1,cursando,Pública,Feira de Santana,BA,,,,,1,,,E,E,F,B,5.0,D,C,D,A,A,B,D,A,B
1778117,2020,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Maceió,AL,,,,,0,,,F,G,E,E,4.0,P,D,D,C,A,B,E,D,B
1782384,2020,18 anos,F,Branca,1,concluiu,Não respondeu,Cruz,CE,,,,,0,,,B,E,F,F,4.0,G,C,C,B,A,B,D,A,B
1783845,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Várzea Grande,MT,,,,,0,,,,,,,,,,,,,,,,
1783907,2020,Entre 31 e 35 anos,F,Preta,1,concluiu,Não respondeu,Guarapari,ES,,,,,1,,,A,A,F,F,4.0,D,B,D,B,B,B,D,B,A
1784005,2020,18 anos,M,Parda,1,cursando,Pública,Timon,MA,,,,,0,,,B,E,B,B,3.0,B,B,C,A,A,B,D,B,B
1784968,2020,23 anos,F,Parda,1,concluiu,Não respondeu,Presidente Venceslau,SP,,,,,0,,,E,E,B,F,4.0,D,B,C,B,A,B,D,A,B
1786720,2020,18 anos,M,Branca,1,cursando,Pública,Lorena,SP,,,,,0,,,F,E,D,B,2.0,C,B,C,A,A,B,C,B,B
1787522,2020,18 anos,F,Preta,2,cursando,Pública,Capim Grosso,BA,,,,,0,,,C,E,C,A,4.0,C,C,C,B,B,B,D,A,B
1787639,2020,18 anos,M,Parda,1,cursando,Pública,Sumé,PB,501.2,,,378.4,1,,,B,B,A,A,2.0,B,B,C,A,B,B,B,A,B
1787817,2020,23 anos,F,Parda,1,concluiu,Não respondeu,Belo Horizonte,MG,,,,,1,,,C,C,B,B,2.0,D,B,B,A,A,B,C,A,B
1788124,2020,19 anos,F,Branca,1,concluiu,Não respondeu,Salvador,BA,,,,,0,,,E,E,D,D,5.0,C,B,C,B,A,B,E,B,B
1788615,2020,18 anos,F,Branca,1,concluiu,Não respondeu,Lins,SP,,,,,1,,,D,E,C,C,3.0,G,C,D,B,C,C,D,A,B
1789432,2020,17 anos,M,Branca,1,cursando,Privada,Jundiaí,SP,,,,,0,,,D,G,D,E,3.0,M,C,C,C,A,B,C,C,B
1791697,2020,19 anos,M,Parda,1,concluiu,Não respondeu,Divinópolis,MG,,,,,0,,,F,F,B,B,4.0,C,B,D,B,A,B,E,B,B
1793031,2020,Menor de 17 anos,M,Parda,1,cursando,Não respondeu,Ananás,TO,440.9,,,463.8,0,,,F,G,D,D,4.0,F,C,C,B,C,B,D,B,B
1793382,2020,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Cachoeira Paulista,SP,,,,,0,,,G,G,D,D,3.0,G,D,D,C,A,B,D,B,B
1793412,2020,Menor de 17 anos,F,Branca,1,cursando,Não respondeu,Icatu,MA,,,,,1,,,E,E,D,D,7.0,J,D,E,B,A,B,E,B,B
1793438,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Guarulhos,SP,,,,,0,,,B,E,D,B,5.0,F,B,C,B,A,B,D,A,B
1793717,2020,Entre 36 e 40 anos,M,Branca,0,concluiu,Não respondeu,Solânea,PB,,,,,1,,,C,C,A,A,2.0,B,B,C,A,B,B,B,B,B
1794553,2020,23 anos,M,Parda,1,concluiu,Não respondeu,Araçuaí,MG,,,,,0,,,D,E,A,D,2.0,E,B,C,A,A,B,C,B,B
1795958,2020,18 anos,M,Parda,1,cursando,Pública,São Luís,MA,,,,,1,,,E,E,B,B,5.0,B,C,C,B,A,B,D,B,B
1796070,2020,18 anos,F,Amarela,1,cursando,Pública,Diadema,SP,,,,,0,,,F,E,D,B,9.0,E,B,C,A,A,B,E,B,B
1796143,2020,18 anos,M,Branca,1,cursando,Pública,Januária,MG,,,,,1,,,E,E,F,F,3.0,C,B,D,A,B,B,D,B,B
1797596,2020,17 anos,M,Branca,1,cursando,Pública,Cariacica,ES,,,,,1,,,B,C,C,B,4.0,E,B,D,B,A,B,E,B,B
1797862,2020,Entre 36 e 40 anos,M,Parda,1,concluiu,Não respondeu,Itaquaquecetuba,SP,,,,,0,,,E,C,B,B,2.0,E,B,B,C,A,C,B,B,B
1799601,2020,19 anos,M,Parda,1,cursando,Pública,Divinópolis,MG,,,,,1,,,D,G,F,F,4.0,D,C,C,B,B,B,D,C,B
1800881,2020,18 anos,M,Parda,1,cursando,Pública,Solonópole,CE,,,,,0,,,A,C,A,A,2.0,B,B,B,A,A,B,B,A,A
1804118,2020,23 anos,F,Parda,1,concluiu,Não respondeu,São José dos Campos,SP,,,,,1,,,H,H,A,A,6.0,A,B,B,A,A,B,D,A,B
1806008,2020,18 anos,M,Parda,1,cursando,Pública,Solonópole,CE,,,,,0,,,F,F,D,D,4.0,C,B,C,B,B,B,D,B,B
1806190,2020,21 anos,F,Parda,1,concluiu,Não respondeu,Campina Grande,PB,,,,,1,,,E,E,C,F,4.0,B,B,C,A,A,B,D,A,B
1807099,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Fortaleza,CE,,,,,1,,,C,C,A,B,3.0,B,B,B,A,A,B,C,A,A
1808564,2020,22 anos,M,Parda,2,concluiu,Não respondeu,Uberaba,MG,,,,,1,,,H,B,F,F,3.0,B,B,C,A,A,B,B,A,B
1810064,2020,18 anos,F,Branca,1,cursando,Pública,Camaquã,RS,,,,,0,,,D,E,C,B,5.0,D,C,E,B,B,C,E,B,B
1812641,2020,Menor de 17 anos,M,Parda,1,cursando,Não respondeu,Aracoiaba,CE,,,,,0,,,B,D,A,A,5.0,A,B,B,A,A,B,B,A,A
1812675,2020,22 anos,M,Branca,1,concluiu,Não respondeu,Palmas,TO,,,,,1,,,C,E,A,B,5.0,F,B,C,A,B,B,D,A,B
1812735,2020,Menor de 17 anos,M,Parda,1,cursando,Não respondeu,Aracaju,SE,,,,,0,,,F,F,D,B,3.0,G,C,C,B,A,B,D,D,B
1813441,2020,Entre 36 e 40 anos,F,Branca,1,concluiu,Não respondeu,Governador Valadares,MG,,,,,1,,,B,D,B,F,7.0,B,B,C,A,A,B,B,A,A
1814083,2020,Entre 26 e 30 anos,F,Branca,1,concluiu,Não respondeu,Feira de Santana,BA,,,,,0,,,E,E,D,B,2.0,B,B,C,B,A,B,C,A,B
1815125,2020,20 anos,M,Preta,1,concluiu,Não respondeu,Bonito,MS,,,,,1,,,C,D,A,B,3.0,B,B,C,A,A,B,B,A,A
1816158,2020,Entre 31 e 35 anos,F,Parda,1,concluiu,Não respondeu,Poço Redondo,SE,,,,,1,,,A,A,A,A,4.0,A,B,C,A,A,B,B,A,A
1820427,2020,17 anos,F,Parda,1,cursando,Pública,Palmas de Monte Alto,BA,,,,,1,,,A,E,F,A,4.0,B,B,D,B,B,B,E,A,B
1821235,2020,24 anos,F,Preta,1,concluiu,Não respondeu,São Paulo,SP,,,,,0,,,F,F,C,E,3.0,G,C,E,B,A,B,D,D,B
